,Edad,Sexo,Número_hijos,Nivel_educación,Estado_civil,Renta,Estado_laboral,Conocimiento_financiero,Patrimonio
2848,56,F,1,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
2849,44,F,4,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
2850,45,M,4,College,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2851,36,M,2,Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
2852,44,F,2,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2853,52,M,2,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
2854,50,F,3,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
2855,53,F,2,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
2856,36,F,0,Unknown,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2857,27,F,1,College,Divorced,Less than $40K,Trabajando,No,$10K - $50K
2858,31,F,1,College,Divorced,0,Desempleado,Sí,$-30K - $10K
2859,36,M,3,Unknown,Single,$60K - $80K,Trabajando,No,$90K - $170K
2860,41,M,4,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
2861,28,M,1,Uneducated,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2862,59,M,1,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
2863,43,M,3,Uneducated,Unknown,$80K - $120K,Trabajando,Sí,$170K - $380K
2864,41,M,3,Unknown,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2865,46,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
2866,51,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
2867,44,M,1,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2868,40,M,3,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2869,32,M,1,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
2870,48,M,4,Uneducated,Single,$40K - $60K,Trabajando,No,$50K - $90K
2871,58,M,2,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
2872,37,F,3,High School,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2873,51,M,3,Unknown,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
2874,43,F,3,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
2875,41,M,4,Uneducated,Single,$80K - $120K,Trabajando,No,$170K - $380K
2876,51,M,3,Graduate,Divorced,$40K - $60K,Trabajando,No,$50K - $90K
2877,52,M,2,Doctorate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
2878,61,M,2,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
2879,49,M,3,Post-Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
2880,36,F,3,High School,Single,0,Desempleado,No,$-30K - $10K
2881,35,M,1,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
2882,63,F,0,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
2883,36,F,1,Post-Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
2884,33,F,4,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
2885,33,M,1,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2886,65,M,1,High School,Single,0,Desempleado,No,$-30K - $10K
2887,61,M,1,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2888,44,M,4,Graduate,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
2889,38,M,1,Doctorate,Single,$80K - $120K,Trabajando,No,$170K - $380K
2890,41,M,4,Uneducated,Single,$80K - $120K,Trabajando,No,$170K - $380K
2891,44,F,4,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2892,41,M,5,Unknown,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2893,45,F,2,Unknown,Single,Less than $40K,Trabajando,No,$10K - $50K
2894,37,M,0,Post-Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2895,51,M,1,Unknown,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2896,65,M,0,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
2897,37,F,1,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
2898,54,M,4,Unknown,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2899,46,M,4,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
2900,41,M,2,Unknown,Single,$80K - $120K,Trabajando,No,$170K - $380K
2901,49,M,2,Unknown,Single,$40K - $60K,Trabajando,No,$50K - $90K
2902,51,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
2903,50,F,3,High School,Single,Less than $40K,Trabajando,No,$10K - $50K
2904,48,F,4,High School,Married,0,Desempleado,No,$-30K - $10K
2905,53,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
2906,54,M,2,Post-Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2907,46,F,4,Unknown,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
2908,47,F,4,High School,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2909,52,F,4,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
2910,43,F,4,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2911,41,M,4,Uneducated,Divorced,$80K - $120K,Trabajando,No,$170K - $380K
2912,34,M,3,Post-Graduate,Unknown,$60K - $80K,Trabajando,Sí,$90K - $170K
2913,33,F,1,College,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2914,49,M,1,High School,Unknown,$60K - $80K,Trabajando,No,$90K - $170K
2915,44,M,3,Doctorate,Single,$120K +,Trabajando,No,$380K - $1.5M
2916,36,M,1,Uneducated,Divorced,$80K - $120K,Trabajando,Sí,$170K - $380K
2917,37,M,3,High School,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2918,46,M,3,Unknown,Divorced,$120K +,Trabajando,No,$380K - $1.5M
2919,65,M,0,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
2920,52,M,2,College,Married,$80K - $120K,Trabajando,No,$170K - $380K
2921,50,M,1,Uneducated,Married,$120K +,Trabajando,Sí,$380K - $1.5M
2922,59,M,1,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
2923,37,F,3,Unknown,Single,0,Desempleado,Sí,$-30K - $10K
2924,40,M,3,Graduate,Unknown,$60K - $80K,Trabajando,No,$90K - $170K
2925,40,F,3,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2926,59,M,1,Doctorate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2927,52,F,3,College,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
2928,43,F,4,Unknown,Unknown,0,Desempleado,No,$-30K - $10K
2929,48,M,3,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2930,45,F,2,Graduate,Unknown,Less than $40K,Trabajando,No,$10K - $50K
2931,30,F,0,Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
2932,41,F,5,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
2933,51,M,1,Unknown,Single,$80K - $120K,Trabajando,No,$170K - $380K
2934,46,M,3,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
2935,50,M,1,Unknown,Married,$120K +,Trabajando,No,$380K - $1.5M
2936,31,F,0,College,Married,Less than $40K,Trabajando,No,$10K - $50K
2937,48,M,1,High School,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2938,39,F,1,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
2939,50,F,2,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
2940,47,M,4,Unknown,Single,$80K - $120K,Trabajando,No,$170K - $380K
2941,53,M,3,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
2942,45,M,4,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
2943,46,M,4,Graduate,Single,$120K +,Trabajando,Sí,$380K - $1.5M
2944,34,M,2,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
2945,39,M,1,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2946,62,M,0,Unknown,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
2947,53,F,3,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2948,51,M,3,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
2949,34,F,1,High School,Single,0,Desempleado,No,$-30K - $10K
2950,44,F,2,Doctorate,Single,$40K - $60K,Trabajando,No,$50K - $90K
2951,49,M,3,High School,Single,$120K +,Trabajando,No,$380K - $1.5M
2952,26,M,0,Graduate,Divorced,0,Desempleado,No,$-30K - $10K
2953,56,F,2,College,Single,Less than $40K,Trabajando,No,$10K - $50K
2954,52,M,1,High School,Divorced,$120K +,Trabajando,No,$380K - $1.5M
2955,65,F,0,High School,Single,0,Desempleado,No,$-30K - $10K
2956,65,F,1,Unknown,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2957,35,M,1,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2958,48,M,3,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
2959,53,F,1,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
2960,38,M,3,Uneducated,Married,$60K - $80K,Trabajando,No,$90K - $170K
2961,50,F,1,College,Single,Less than $40K,Trabajando,No,$10K - $50K
2962,46,M,3,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
2963,48,M,3,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
2964,36,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
2965,41,F,2,Post-Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2966,60,M,0,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
2967,49,F,2,Unknown,Single,0,Desempleado,No,$-30K - $10K
2968,45,F,4,High School,Unknown,0,Desempleado,No,$-30K - $10K
2969,36,M,2,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
2970,49,M,3,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2971,43,M,3,High School,Single,$120K +,Trabajando,Sí,$380K - $1.5M
2972,58,M,1,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
2973,46,M,0,High School,Divorced,$80K - $120K,Trabajando,Sí,$170K - $380K
2974,50,M,2,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2975,43,M,4,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
2976,57,F,3,College,Single,$40K - $60K,Trabajando,No,$50K - $90K
2977,30,M,1,Unknown,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2978,48,F,2,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
2979,51,M,2,Doctorate,Single,$120K +,Trabajando,No,$380K - $1.5M
2980,46,M,2,Unknown,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
2981,46,M,3,College,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
2982,45,M,4,Unknown,Married,$40K - $60K,Trabajando,No,$50K - $90K
2983,52,M,3,College,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
2984,48,M,5,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
2985,47,M,3,Unknown,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
2986,49,M,2,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
2987,43,M,1,Unknown,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
2988,47,F,4,Uneducated,Single,$40K - $60K,Trabajando,No,$50K - $90K
2989,55,M,2,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
2990,41,F,5,Post-Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2991,44,M,5,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
2992,35,F,2,Uneducated,Married,Less than $40K,Trabajando,Sí,$10K - $50K
2993,40,F,2,Unknown,Married,0,Desempleado,No,$-30K - $10K
2994,32,F,1,High School,Single,Less than $40K,Trabajando,Sí,$10K - $50K
2995,50,M,4,Unknown,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
2996,38,M,3,College,Single,$60K - $80K,Trabajando,No,$90K - $170K
2997,39,M,2,High School,Single,$120K +,Trabajando,Sí,$380K - $1.5M
2998,48,F,3,Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
2999,52,F,2,College,Single,Less than $40K,Trabajando,No,$10K - $50K
3000,49,M,3,Graduate,Unknown,$60K - $80K,Trabajando,Sí,$90K - $170K
3001,46,F,3,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3002,38,F,4,Doctorate,Married,Less than $40K,Trabajando,No,$10K - $50K
3003,60,M,0,College,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3004,48,M,2,High School,Single,$80K - $120K,Trabajando,No,$170K - $380K
3005,45,F,2,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3006,47,M,2,Unknown,Unknown,$60K - $80K,Trabajando,No,$90K - $170K
3007,43,M,2,Doctorate,Divorced,$40K - $60K,Trabajando,Sí,$50K - $90K
3008,41,F,2,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
3009,53,M,2,Unknown,Single,$60K - $80K,Trabajando,No,$90K - $170K
3010,50,M,5,Post-Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
3011,56,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3012,63,F,0,Uneducated,Unknown,$40K - $60K,Trabajando,Sí,$50K - $90K
3013,53,F,1,High School,Single,Less than $40K,Trabajando,No,$10K - $50K
3014,35,F,2,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
3015,51,M,2,College,Married,$80K - $120K,Trabajando,No,$170K - $380K
3016,51,F,1,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3017,44,M,3,Unknown,Single,$80K - $120K,Trabajando,No,$170K - $380K
3018,38,M,3,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3019,40,F,2,Graduate,Divorced,0,Desempleado,Sí,$-30K - $10K
3020,48,M,2,Graduate,Divorced,$80K - $120K,Trabajando,No,$170K - $380K
3021,42,F,3,High School,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3022,50,M,2,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
3023,54,F,2,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3024,38,M,3,High School,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3025,55,M,5,Post-Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
3026,46,M,4,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
3027,49,F,1,Doctorate,Married,0,Desempleado,No,$-30K - $10K
3028,38,M,3,Unknown,Single,$80K - $120K,Trabajando,No,$170K - $380K
3029,50,M,0,Uneducated,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
3030,40,F,3,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3031,32,M,1,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
3032,49,M,3,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3033,53,M,2,Post-Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3034,57,M,3,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3035,64,F,0,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3036,34,M,3,Unknown,Unknown,$80K - $120K,Trabajando,No,$170K - $380K
3037,43,M,2,Uneducated,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3038,42,F,3,Doctorate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
3039,48,M,3,Uneducated,Single,$120K +,Trabajando,No,$380K - $1.5M
3040,49,M,3,High School,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3041,57,M,3,College,Single,$60K - $80K,Trabajando,No,$90K - $170K
3042,44,M,4,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
3043,63,F,2,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3044,43,M,3,Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3045,33,M,4,High School,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
3046,55,M,2,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3047,50,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3048,49,F,3,Unknown,Unknown,Less than $40K,Trabajando,No,$10K - $50K
3049,48,M,3,Post-Graduate,Unknown,$120K +,Trabajando,No,$380K - $1.5M
3050,47,F,3,High School,Unknown,Less than $40K,Trabajando,No,$10K - $50K
3051,35,F,4,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
3052,31,F,0,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3053,50,M,3,Uneducated,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3054,38,M,3,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
3055,39,M,3,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3056,52,F,3,High School,Single,Less than $40K,Trabajando,No,$10K - $50K
3057,49,F,4,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
3058,49,M,4,Uneducated,Married,$40K - $60K,Trabajando,No,$50K - $90K
3059,44,M,3,High School,Divorced,$60K - $80K,Trabajando,No,$90K - $170K
3060,36,M,1,Graduate,Single,$120K +,Trabajando,No,$380K - $1.5M
3061,44,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
3062,44,M,3,Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3063,35,M,5,Uneducated,Single,$60K - $80K,Trabajando,No,$90K - $170K
3064,45,M,4,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3065,56,M,4,College,Single,$80K - $120K,Trabajando,No,$170K - $380K
3066,37,F,1,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3067,48,F,3,Uneducated,Married,Less than $40K,Trabajando,No,$10K - $50K
3068,43,F,3,Graduate,Divorced,0,Desempleado,Sí,$-30K - $10K
3069,45,M,3,Unknown,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
3070,54,M,3,Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3071,46,M,2,Post-Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3072,44,F,4,Doctorate,Married,0,Desempleado,No,$-30K - $10K
3073,44,M,3,Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3074,38,M,2,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3075,55,F,2,Post-Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
3076,50,M,3,Unknown,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3077,42,F,3,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
3078,49,F,3,Uneducated,Divorced,Less than $40K,Trabajando,Sí,$10K - $50K
3079,31,F,0,Graduate,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3080,51,M,2,Unknown,Unknown,$80K - $120K,Trabajando,Sí,$170K - $380K
3081,47,F,4,High School,Married,Less than $40K,Trabajando,Sí,$10K - $50K
3082,30,F,0,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
3083,46,M,2,Unknown,Unknown,$120K +,Trabajando,Sí,$380K - $1.5M
3084,45,F,3,High School,Divorced,Less than $40K,Trabajando,No,$10K - $50K
3085,53,F,2,College,Married,0,Desempleado,No,$-30K - $10K
3086,62,M,0,Unknown,Single,$40K - $60K,Trabajando,No,$50K - $90K
3087,65,F,1,Unknown,Single,0,Desempleado,No,$-30K - $10K
3088,44,F,3,Unknown,Married,0,Desempleado,No,$-30K - $10K
3089,51,M,3,Post-Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
3090,28,F,0,Uneducated,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3091,49,M,2,Unknown,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3092,44,F,3,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
3093,55,M,3,College,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3094,49,M,4,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3095,34,F,2,High School,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3096,50,M,2,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
3097,42,M,2,Graduate,Divorced,$80K - $120K,Trabajando,Sí,$170K - $380K
3098,53,F,1,Uneducated,Divorced,$40K - $60K,Trabajando,Sí,$50K - $90K
3099,53,M,3,High School,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3100,32,M,1,High School,Married,$40K - $60K,Trabajando,No,$50K - $90K
3101,48,M,1,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
3102,35,M,4,Graduate,Single,$60K - $80K,Trabajando,No,$90K - $170K
3103,45,M,4,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
3104,45,M,5,College,Single,$80K - $120K,Trabajando,No,$170K - $380K
3105,53,F,2,Unknown,Single,$40K - $60K,Trabajando,No,$50K - $90K
3106,42,M,4,Unknown,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3107,43,F,3,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
3108,55,F,2,Unknown,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3109,38,M,0,Graduate,Married,$60K - $80K,Trabajando,Sí,$90K - $170K
3110,39,F,4,Uneducated,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3111,51,F,1,College,Married,0,Desempleado,No,$-30K - $10K
3112,44,M,3,High School,Married,$80K - $120K,Trabajando,No,$170K - $380K
3113,42,M,2,Unknown,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3114,63,F,1,College,Single,$40K - $60K,Trabajando,No,$50K - $90K
3115,39,M,2,Graduate,Divorced,$60K - $80K,Trabajando,Sí,$90K - $170K
3116,52,M,2,High School,Single,$120K +,Trabajando,No,$380K - $1.5M
3117,57,F,2,High School,Divorced,Less than $40K,Trabajando,No,$10K - $50K
3118,36,M,0,High School,Married,$120K +,Trabajando,Sí,$380K - $1.5M
3119,42,F,3,College,Married,Less than $40K,Trabajando,No,$10K - $50K
3120,52,M,4,Graduate,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
3121,40,F,4,Graduate,Divorced,Less than $40K,Trabajando,No,$10K - $50K
3122,40,F,3,College,Single,Less than $40K,Trabajando,No,$10K - $50K
3123,38,M,1,Unknown,Married,$120K +,Trabajando,Sí,$380K - $1.5M
3124,44,M,3,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
3125,43,M,3,Graduate,Married,$120K +,Trabajando,No,$380K - $1.5M
3126,45,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
3127,34,F,4,Graduate,Single,0,Desempleado,No,$-30K - $10K
3128,49,M,1,Unknown,Single,$120K +,Trabajando,No,$380K - $1.5M
3129,53,F,1,College,Divorced,0,Desempleado,Sí,$-30K - $10K
3130,38,M,3,College,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3131,36,M,1,Graduate,Single,$80K - $120K,Trabajando,No,$170K - $380K
3132,48,M,3,Unknown,Married,$40K - $60K,Trabajando,No,$50K - $90K
3133,53,F,1,Uneducated,Single,$40K - $60K,Trabajando,No,$50K - $90K
3134,49,F,1,Uneducated,Married,$40K - $60K,Trabajando,Sí,$50K - $90K
3135,37,M,2,High School,Unknown,$120K +,Trabajando,No,$380K - $1.5M
3136,44,M,4,Graduate,Married,$80K - $120K,Trabajando,Sí,$170K - $380K
3137,42,F,1,Unknown,Single,0,Desempleado,Sí,$-30K - $10K
3138,48,M,0,Unknown,Divorced,$40K - $60K,Trabajando,No,$50K - $90K
3139,60,F,1,Graduate,Single,0,Desempleado,Sí,$-30K - $10K
3140,49,F,2,High School,Married,0,Desempleado,Sí,$-30K - $10K
3141,37,M,2,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
3142,57,F,3,Post-Graduate,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
3143,59,F,1,College,Unknown,Less than $40K,Trabajando,No,$10K - $50K
3144,46,F,3,Uneducated,Single,0,Desempleado,No,$-30K - $10K
3145,39,F,3,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3146,40,M,3,Unknown,Married,$120K +,Trabajando,Sí,$380K - $1.5M
3147,49,M,4,Unknown,Married,$60K - $80K,Trabajando,No,$90K - $170K
3148,53,M,4,Unknown,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3149,59,F,0,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
3150,63,M,0,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
3151,36,M,3,High School,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3152,64,M,1,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3153,39,M,2,Graduate,Married,$80K - $120K,Trabajando,No,$170K - $380K
3154,50,F,1,High School,Married,Less than $40K,Trabajando,No,$10K - $50K
3155,38,F,3,Uneducated,Single,0,Desempleado,No,$-30K - $10K
3156,45,M,3,Uneducated,Unknown,$60K - $80K,Trabajando,No,$90K - $170K
3157,47,M,4,Graduate,Unknown,$40K - $60K,Trabajando,Sí,$50K - $90K
3158,54,F,2,High School,Single,0,Desempleado,No,$-30K - $10K
3159,40,F,1,Graduate,Married,Less than $40K,Trabajando,Sí,$10K - $50K
3160,52,M,2,High School,Single,$60K - $80K,Trabajando,No,$90K - $170K
3161,63,M,0,Graduate,Single,0,Desempleado,Sí,$-30K - $10K
3162,48,F,1,Graduate,Single,0,Desempleado,Sí,$-30K - $10K
3163,46,M,5,College,Married,$60K - $80K,Trabajando,No,$90K - $170K
3164,52,M,2,High School,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3165,45,M,2,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
3166,48,M,3,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
3167,59,M,1,Graduate,Married,$60K - $80K,Trabajando,No,$90K - $170K
3168,47,M,3,Uneducated,Divorced,$120K +,Trabajando,No,$380K - $1.5M
3169,55,F,2,College,Single,Less than $40K,Trabajando,Sí,$10K - $50K
3170,53,M,5,Unknown,Married,$80K - $120K,Trabajando,No,$170K - $380K
3171,41,F,3,Unknown,Single,$40K - $60K,Trabajando,Sí,$50K - $90K
3172,40,M,3,Graduate,Single,$40K - $60K,Trabajando,No,$50K - $90K
3173,52,F,2,High School,Single,Less than $40K,Trabajando,No,$10K - $50K
3174,59,M,2,Graduate,Single,Less than $40K,Trabajando,No,$10K - $50K
3175,36,F,2,Uneducated,Married,0,Desempleado,Sí,$-30K - $10K
3176,59,M,2,Graduate,Single,$60K - $80K,Trabajando,Sí,$90K - $170K
3177,41,M,4,High School,Married,$60K - $80K,Trabajando,No,$90K - $170K
3178,38,M,2,Post-Graduate,Single,$80K - $120K,Trabajando,Sí,$170K - $380K
3179,44,F,2,High School,Single,$40K - $60K,Trabajando,No,$50K - $90K
3180,42,F,2,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
3181,48,F,2,Graduate,Married,Less than $40K,Trabajando,No,$10K - $50K
3182,57,F,2,Unknown,Married,Less than $40K,Trabajando,No,$10K - $50K
3183,34,M,2,Uneducated,Single,$120K +,Trabajando,Sí,$380K - $1.5M
3184,50,F,2,Uneducated,Single,Less than $40K,Trabajando,No,$10K - $50K
3185,41,M,2,Uneducated,Single,$80K - $120K,Trabajando,No,$170K - $380K
3186,50,M,4,Graduate,Married,$40K - $60K,Trabajando,No,$50K - $90K
3187,49,M,2,High School,Single,$120K +,Trabajando,No,$380K - $1.5M
3188,47,M,3,Unknown,Unknown,$120K +,Trabajando,Sí,$380K - $1.5M
